Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
59545874,Miracle and Wonder: Conversations with Paul Simon,Malcolm Gladwell,"Gladwell, Malcolm","Bruce Headlam, Paul Simon",,,5,4.74,Pushkin Industries,Audiobook,,2021,,11/28/2021,11/28/2021,,,read,,,,1,,,0,,,,,
15823480,Anna Karenina,Leo Tolstoy,"Tolstoy, Leo","Constance Garnett, Aylmer Maude, Louise Maude, Dmitriy Butko, George Gibian",,,0,4.06,Vintage,Paperback,964,2012,1877,,11/14/2021,to-read,to-read (#163),to-read,,,,0,,,0,,,,,
16151178,The Sea of Tranquility,Katja Millay,"Millay, Katja",,,,2,4.29,Atria Books,Kindle Edition,449,2012,2012,11/13/2021,8/5/2013,,,read,,,,1,,,0,,,,,
50196744,Know My Name,Chanel Miller,"Miller, Chanel",,735223718,9.78E+12,5,4.71,Viking,ebook,368,2019,2019,11/6/2021,11/4/2021,,,read,,,,1,,,0,,,,,
32075854,"Magpie Murders (Susan Ryeland, #1)",Anthony Horowitz,"Horowitz, Anthony",,62645226,9.78E+12,3,3.94,Harper,Hardcover,498,2017,2016,10/27/2021,9/17/2021,,,read,,,,1,,,0,,,,,
10804721,Black Cool: One Thousand Streams of Blackness,Rebecca Walker,"Walker, Rebecca",Henry Louis Gates Jr.,1593764170,9.78E+12,0,4.09,Soft Skull Press,Paperback,194,2012,2011,,10/18/2021,to-read,to-read (#162),to-read,,,,0,,,0,,,,,
57109107,The Lincoln Highway,Amor Towles,"Towles, Amor",,735222355,9.78E+12,4,4.36,Viking,Hardcover,576,2021,2021,10/15/2021,10/15/2021,,,read,,,,1,,,0,,,,,
50202953,Piranesi,Susanna Clarke,"Clarke, Susanna",,163557563X,9.78E+12,5,4.28,Bloomsbury,Hardcover,245,2020,2020,9/25/2021,8/29/2021,,,read,,,,1,,,0,,,,,
53152636,Mexican Gothic,Silvia Moreno-Garcia,"Moreno-Garcia, Silvia",,525620788,9.78E+12,0,3.69,Del Rey,Hardcover,301,2020,2020,,9/17/2021,to-read,to-read (#161),to-read,,,,0,,,0,,,,,
18693771,"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",Bessel van der Kolk,"Kolk, Bessel van der",,670785938,9.78E+12,0,4.44,Viking,Hardcover,464,2014,2014,,9/17/2021,to-read,to-read (#160),to-read,,,,0,,,0,,,,,
45047384,The House in the Cerulean Sea,T.J. Klune,"Klune, T.J.",,,,0,4.47,Tor Books,Kindle Edition,394,2020,2020,,9/17/2021,to-read,to-read (#159),to-read,,,,0,,,0,,,,,
775616,The Yellow Wallpaper,Charlotte Perkins Gilman,"Gilman, Charlotte Perkins",Dale M. Bauer,312132921,9.78E+12,5,4.1,Bedford/St. Martin's,Paperback,377,1998,1892,,2/23/2015,,,read,,,,1,,,0,,,,,
40030311,Almost American Girl,Robin Ha,"Ha, Robin",,,,0,4.23,Balzer + Bray,Kindle Edition,228,2020,2020,,8/29/2021,to-read,to-read (#158),to-read,,,,0,,,0,,,,,
41880609,On Earth We're Briefly Gorgeous,Ocean Vuong,"Vuong, Ocean",,525562028,9.78E+12,0,4.05,Penguin Press,Hardcover,246,2019,2019,,8/29/2021,to-read,to-read (#157),to-read,,,,0,,,0,,,,,
35068705,"The Poppy War (The Poppy War, #1)",R.F. Kuang,"Kuang, R.F.",,62662597,9.78E+12,3,4.07,Harper Voyager,ebook,531,2018,2018,8/28/2021,1/13/2019,,,read,,,,1,,,0,,,,,
771526,That's Not What I Meant!,Deborah Tannen,"Tannen, Deborah",,345340906,9.78E+12,2,3.95,Ballantine Books,Mass Market Paperback,224,1987,1986,8/25/2021,5/29/2021,,,read,,,,1,,,0,,,,,
2457922,Making History: Quilts & Fabric from 1890-1970,Barbara Brackman,"Brackman, Barbara",,1571204539,9.78E+12,0,4.19,C&T Publishing,Paperback,128,2008,2008,,8/19/2021,to-read,to-read (#156),to-read,,,,0,,,0,,,,,
50093704,In Five Years,Rebecca Serle,"Serle, Rebecca",,1982137444,9.78E+12,2,3.82,Atria Books,Hardcover,255,2020,2020,8/7/2021,8/7/2021,,,read,,,,1,,,0,,,,,
55653211,Miseducated: My Journey,Brandon P. Fleming,"Fleming, Brandon P.",Cornell West,306925133,9.78E+12,0,4.58,Hachette Books,Hardcover,272,2021,,,6/17/2021,to-read,to-read (#155),to-read,,,,0,,,0,,,,,
36337550,The 7½ Deaths of Evelyn Hardcastle,Stuart Turton,"Turton, Stuart",,,,3,3.88,Sourcebooks Landmark,Hardcover,432,2018,2018,6/8/2021,6/5/2021,,,read,,,,1,,,0,,,,,
11387515,"Wonder (Wonder, #1)",R.J. Palacio,"Palacio, R.J.",,,,5,4.4,Alfred A. Knopf,Hardcover,315,2012,2012,5/31/2021,1/1/2018,,,read,,,,1,,,0,,,,,
52576333,The Prophets,Robert Jones Jr.,"Jr., Robert Jones",,,,0,3.95,G.P. Putnam's Sons,Hardcover,400,2021,2021,,5/29/2021,to-read,to-read (#154),to-read,,,,0,,,0,,,,,
57946327,The Last Thing He Told Me,Laura Dave,"Dave, Laura",,,,0,3.96,Simon & Schuster,Hardcover,306,2021,2021,,5/28/2021,to-read,to-read (#153),to-read,,,,0,,,0,,,,,
73716,Como agua para chocolate,Laura Esquivel,"Esquivel, Laura",,385721234,9.78E+12,4,3.95,Vintage Espanol,Paperback,248,2001,1989,5/18/2021,12/19/2020,,,read,,,,1,,,0,,,,,
34497,"The Color of Magic (Discworld, #1; Rincewind, #1)",Terry Pratchett,"Pratchett, Terry",,60855924,9.78E+12,0,3.98,Harper,Paperback,228,2005,1983,,3/30/2021,to-read,to-read (#152),to-read,,,,0,,,0,,,,,
31434883,Eleanor Oliphant Is Completely Fine,Gail Honeyman,"Honeyman, Gail",,735220689,9.78E+12,4,4.26,Pamela Dorman Books / Viking,Hardcover,336,2017,2017,3/4/2021,4/25/2020,,,read,,,,1,,,0,,,,,
50732671,Apeirogon,Colum McCann,"McCann, Colum",,030787804X,9.78E+12,0,4.25,Random House Audio Publishing Group,Audio CD,463,2020,2020,,2/14/2021,currently-reading,currently-reading (#1),currently-reading,,,,1,,,0,,,,,
35082451,All the Names They Used for God,Anjali Sachdeva,"Sachdeva, Anjali",,399593004,9.78E+12,3,4.04,Spiegel & Grau,Hardcover,259,2018,2018,1/23/2021,1/18/2021,,,read,,,,1,,,0,,,,,
50623864,The Invisible Life of Addie LaRue,V.E. Schwab,"Schwab, V.E.",,765387565,9.78E+12,0,4.25,Tor Books,Hardcover,442,2020,2020,,1/1/2021,to-read,to-read (#151),to-read,,,,0,,,0,,,,,
16328,"The Murder of Roger Ackroyd (Hercule Poirot, #4)",Agatha Christie,"Christie, Agatha",,1579126278,9.78E+12,5,4.24,Black Dog & Leventhal Publishers,Hardcover,288,2006,1926,1/1/2021,1/7/2020,,,read,,,,1,,,0,,,,,
28256439,"The Hidden Life of Trees: What They Feel, How They Communicate – Discoveries from a Secret World",Peter Wohlleben,"Wohlleben, Peter","Tim Flannery, Jane Billinghurst, Suzanne Simard",1771642483,9.78E+12,0,4.04,Greystone Books,Hardcover,288,2016,2015,,12/20/2020,to-read,to-read (#150),to-read,,,,0,,,0,,,,,
40914165,The Book Woman of Troublesome Creek,Kim Michele Richardson,"Richardson, Kim Michele",,1492671525,9.78E+12,0,4.22,Sourcebooks Landmark,Paperback,309,2019,2019,,12/19/2020,to-read,to-read (#149),to-read,,,,0,,,0,,,,,
53050139,Inland,Téa Obreht,"Obreht, Téa",,059313267X,9.78E+12,0,3.45,Random House,Paperback,384,2019,2019,,12/19/2020,to-read,to-read (#148),to-read,,,,0,,,0,,,,,
43706466,10 Minutes 38 Seconds in This Strange World,Elif Shafak,"Shafak, Elif",,241293863,9.78E+12,0,4.09,Viking,Hardcover,312,2019,2019,,12/19/2020,to-read,to-read (#147),to-read,,,,0,,,0,,,,,
